auth_success_rate,comm_bytes_mean,csi_dim,experiment,latency_ms_mean,pqc_level,threshold
1.0,4105,16,sensitivity,5.125073333336634,2,0.85
1.0,5618,16,sensitivity,7.69460000002861,3,0.85
1.0,4105,16,sensitivity,5.1111733333300435,2,0.9
1.0,5618,16,sensitivity,7.899606666668054,3,0.9
1.0,4169,32,sensitivity,5.19494666667318,2,0.85
1.0,5682,32,sensitivity,7.96790666668888,3,0.85
1.0,4169,32,sensitivity,5.09521333332638,2,0.9
1.0,5682,32,sensitivity,7.64764666667664,3,0.9
1.0,4297,64,sensitivity,5.102106666663531,2,0.85
1.0,5810,64,sensitivity,7.819826666665601,3,0.85
1.0,4297,64,sensitivity,5.269753333330603,2,0.9
1.0,5810,64,sensitivity,7.727586666662016,3,0.9
